"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"UOHH","HTG","Khatanga Airport","Khatanga","Krasnoyarskiy","RU","95","71.9781","102.491","Asia/Krasnoyarsk",""
"UOII","IAA","Igarka Airport","Igarka","Krasnoyarskiy","RU","82","67.4372","86.6219","Asia/Krasnoyarsk",""
"UOOO","NSK","Norilsk-Alykel Airport","Norilsk","Krasnoyarskiy","RU","574","69.3111","87.3322","Asia/Krasnoyarsk",""
"UOTT","THX","Turukhansk Airport","Turukhansk","Krasnoyarskiy","RU","128","65.7972","87.9353","Asia/Krasnoyarsk",""
"URFB","UKS","Sevastopol International Airport","Sevastopol","Crimea","UA","344","44.689","33.571","Europe/Simferopol",""
"URKA","AAQ","Anapa Airport","Anapa","Krasnodarskiy","RU","174","45.0021","37.3473","Europe/Moscow",""
"URKE","EIK","Yeysk Airport","Yeysk","Krasnodarskiy","RU","60","46.68","38.21","Europe/Moscow",""
"URKG","GDZ","Gelendzhik Airport","Gelendzhik","Krasnodarskiy","RU","98","44.58209","38.01248","Europe/Moscow",""
"URKK","KRR","Krasnodar International Airport","Krasnodar","Krasnodarskiy","RU","118","45.0347","39.1705","Europe/Moscow",""
"URMG","GRV","Grozny North Airport","Grozny","Chechnya","RU","0","43.3883","45.6986","Europe/Moscow",""
"URML","MCX","Uytash Airport","Makhachkala","Dagestan","RU","12","42.8168","47.6523","Europe/Moscow",""
"URMM","MRV","Mineralnyye Vody Airport","Mineralnyye Vody","Stavropol'skiy","RU","1054","44.2251","43.0819","Europe/Moscow",""
"URMN","NAL","Nalchik Airport","Nalchik","Kabardino-Balkariya","RU","1461","43.5129","43.6366","Europe/Moscow",""
"URMO","OGZ","Beslan Airport","Beslan","North Ossetia","RU","1673","43.2051","44.6066","Europe/Moscow",""
